listing_id,date
3269390,2014-06-23
3269390,2014-06-28
3269390,2014-07-01
3269390,2014-07-08
3269390,2014-08-01
3269390,2014-08-09
3269390,2014-08-12
3269390,2014-08-21
3269390,2014-08-23
3269390,2014-08-30
3269390,2014-09-07
3269390,2014-09-14
3269390,2014-09-17
3269390,2014-09-20
3269390,2014-09-24
3269390,2014-10-01
3269390,2014-10-07
3269390,2014-10-10
3269390,2014-10-15
3269390,2014-10-20
3269390,2014-11-02
3269390,2014-11-07
3269390,2014-11-13
3269390,2014-11-17
3269390,2014-11-21
3269390,2014-11-29
3269390,2014-12-06
3269390,2014-12-30
3269390,2015-01-05
3269390,2015-01-20
3269390,2015-02-03
3269390,2015-02-09
3269390,2015-02-18
3269390,2015-02-26
3269390,2015-03-05
3269390,2015-03-10
3269390,2015-03-22
3269390,2015-04-02
3269390,2015-04-09
3269390,2015-04-13
3269390,2015-05-06
3269390,2015-05-12
3269390,2015-05-21
3269390,2015-05-26
3269390,2015-05-30
3269390,2015-06-03
3269390,2015-06-12
3269390,2015-06-15
3269390,2015-06-18
3269390,2015-06-28
2746782,2014-04-21
2746782,2014-04-24
2746782,2014-04-28
2746782,2014-05-03
2746782,2014-05-13
2746782,2014-05-19
2746782,2014-05-24
2746782,2014-05-27
2746782,2014-05-31
2746782,2014-06-08
2746782,2014-06-11
2746782,2014-06-13
2746782,2014-06-18
2746782,2014-06-21
2746782,2014-06-26
2746782,2014-06-28
2746782,2014-07-04
2746782,2014-07-06
2746782,2014-07-09
2746782,2014-07-11
2746782,2014-07-15
2746782,2014-07-17
2746782,2014-07-21
2746782,2014-07-27
2746782,2014-07-29
2746782,2014-07-31
2746782,2014-08-02
2746782,2014-08-06
2746782,2014-08-08
2746782,2014-08-13
2746782,2014-08-16
2746782,2014-08-19
2746782,2014-08-25
2746782,2014-08-28
2746782,2014-08-30
2746782,2014-09-02
2746782,2014-09-09
2746782,2014-09-20
2746782,2014-09-28
2746782,2014-10-28
2746782,2014-11-04
2746782,2014-11-08
2746782,2014-11-11
2746782,2014-11-19
2746782,2014-11-29
2746782,2014-12-01
2746782,2014-12-08
2746782,2014-12-16
2746782,2014-12-28
2746782,2015-01-03
2746782,2015-01-10
2746782,2015-02-03
2746782,2015-02-10
2746782,2015-02-24
2746782,2015-03-10
2746782,2015-03-12
