listing_id,date
1026882,2013-07-21
1026882,2013-08-09
1026882,2013-08-26
1026882,2013-09-21
1026882,2013-10-07
1026882,2013-10-12
1026882,2013-10-13
1026882,2013-10-28
1026882,2013-11-05
1026882,2013-11-16
1026882,2013-12-23
1026882,2014-01-03
1026882,2014-01-06
1026882,2014-01-20
1026882,2014-01-27
1026882,2014-02-11
1026882,2014-03-01
1026882,2014-03-06
1026882,2014-03-23
1026882,2014-03-28
1026882,2014-03-31
1026882,2014-04-21
1026882,2014-05-12
1026882,2014-05-17
1026882,2014-05-22
1026882,2014-05-25
1026882,2014-06-02
1026882,2014-06-05
1026882,2014-06-22
1026882,2014-06-23
1026882,2014-06-26
1026882,2014-07-15
1026882,2014-07-22
1026882,2014-08-02
1026882,2014-08-05
1026882,2014-08-09
1026882,2014-08-17
1026882,2014-08-23
1026882,2014-08-28
1026882,2014-09-21
1026882,2014-10-06
1026882,2014-10-25
1026882,2014-10-27
1026882,2014-10-31
1026882,2014-11-03
1026882,2014-11-17
1026882,2014-12-06
1026882,2014-12-21
1026882,2015-01-05
1026882,2015-01-12
1026882,2015-01-24
1026882,2015-02-20
1026882,2015-02-23
1026882,2015-02-28
1026882,2015-03-03
1026882,2015-03-10
1026882,2015-03-16
1026882,2015-03-20
1026882,2015-03-23
1026882,2015-04-08
1026882,2015-04-12
1026882,2015-04-18
1026882,2015-04-20
1026882,2015-04-25
1026882,2015-05-11
1026882,2015-05-18
1026882,2015-05-31
1026882,2015-06-14
1026882,2015-06-21
1026882,2015-06-29
1026882,2015-07-27
1026882,2015-08-11
975821,2013-04-22
975821,2014-05-06
975821,2014-05-26
975821,2015-01-03
975821,2015-02-16
975821,2015-02-22
975821,2015-03-10
975821,2015-04-08
975821,2015-04-15
975821,2015-05-05
975821,2015-05-12
2437481,2014-03-04
2437481,2014-03-12
2437481,2014-03-16
2437481,2014-03-18
2437481,2014-03-28
2437481,2014-04-02
2437481,2014-04-16
2437481,2014-04-29
2437481,2014-05-06
2437481,2014-05-11
2437481,2014-05-25
2437481,2014-06-01
2437481,2014-06-21
2437481,2014-06-30
2437481,2014-07-09
2437481,2014-07-13
2437481,2014-07-27
2437481,2014-08-18
2437481,2014-08-23
2437481,2014-09-03
2437481,2014-09-21
2437481,2014-10-14
2437481,2014-10-21
2437481,2014-10-27
2437481,2014-11-03
2437481,2014-11-07
2437481,2014-11-10
2437481,2014-11-17
2437481,2014-11-20
2437481,2014-11-24
2437481,2014-11-30
2437481,2014-12-25
2437481,2015-01-02
2437481,2015-01-03
2437481,2015-01-10
2437481,2015-01-16
2437481,2015-01-18
2437481,2015-01-19
2437481,2015-01-26
2437481,2015-02-03
2437481,2015-02-11
2437481,2015-02-28
2437481,2015-03-13
2437481,2015-03-22
2437481,2015-03-24
2437481,2015-03-30
2437481,2015-04-04
2437481,2015-04-11
2437481,2015-04-12
2437481,2015-04-13
2437481,2015-04-21
2437481,2015-04-27
2437481,2015-05-04
2437481,2015-05-11
2437481,2015-06-01
2437481,2015-06-29
2437481,2015-07-06
2437481,2015-07-10
2437481,2015-07-13
2437481,2015-07-14
