id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3838546,Beautiful room + Wi-Fi,19768980,Georgette,,Noord-Oost,52.39288285215538,4.954859420901787,Private room,35,1,4,2015-05-24,0.37,3,259
3838642,Cozy room +  Wi-Fi,19768980,Georgette,,Noord-Oost,52.3938437126567,4.955049067331066,Private room,35,1,5,2015-04-30,0.45,3,248
5997134,Great well styled ship ,25745744,Jolanda,,Noord-Oost,52.37867861238854,4.970278887714593,Entire home/apt,110,1,3,2015-06-16,1.02,44,245
3462884,Private modern room + Sunny terrace,11969034,Raul,,Noord-Oost,52.40383082087025,4.938426697218918,Private room,67,3,59,2015-08-30,4.16,3,117
2370541,Modern House & Room,6330747,Ronny,,Noord-Oost,52.39375214194421,4.956928382089615,Private room,44,2,38,2015-08-15,2.18,1,315
1358042,"Woonboot in Amsterdam, Free parking",7371529,Siem,,Noord-Oost,52.38281122301121,4.966894741231812,Entire home/apt,60,2,115,2015-08-20,4.65,1,291
5707655,Lovely Room with Garden,29591818,Frans,,Noord-Oost,52.40438119061017,4.941818135977954,Private room,85,2,12,2015-08-27,2.38,2,319
6850043,gerenoveerd woonschip-tjalk (1908),24350341,Harold,,Noord-Oost,52.38177509748901,4.965553700830293,Entire home/apt,99,3,3,2015-08-23,1.29,1,182
595898,Romantic houseboat in Amsterdam,2911119,Liesbeth,,Noord-Oost,52.378771617539606,4.9711364446232915,Entire home/apt,90,2,16,2015-08-22,0.45,1,156
4697911,family home in Amsterdam,16626677,Kees,,Noord-Oost,52.3991272984682,4.953999697510392,Entire home/apt,100,5,5,2015-08-05,0.61,1,218
5216536,Loft in parc in front of a pond ,9830464,Lotte,,Noord-Oost,52.39560914576572,4.934592034105179,Entire home/apt,112,2,9,2015-08-04,1.97,1,361
2224816,Modern apartment with great view ,11353515,Fabian,,Noord-Oost,52.39912292956411,4.943534819516326,Entire home/apt,140,2,28,2015-08-03,1.83,1,361
5124214,Best of both; city & countryside!,9261270,Jossien,,Noord-Oost,52.394149408480025,4.935288809645206,Entire home/apt,100,6,0,,,1,244
3447998,Unique architects house on a dike,17376998,Jan,,Noord-Oost,52.38673472198049,4.959109987358877,Entire home/apt,130,3,3,2015-07-30,1.76,1,302
7707862,2 bedroom apartment long-term,3006640,D&B Host,,Noord-Oost,52.397864895343766,4.958749684026763,Entire home/apt,150,1,0,,,1,296
7801735,Large private room in nearby center,14076195,Elke,,Noord-Oost,52.397099150925484,4.930526142112503,Private room,45,1,1,2015-08-17,1,1,309
5409737,cottage in Amsterdam,3966217,Arnout,,Noord-Oost,52.37795780000006,4.991013737646961,Entire home/apt,95,2,1,2015-06-26,0.43,1,354
7769055,"""Back House"", Amsterdam-Durgerdam",337655,Jaap & Kim,,Noord-Oost,52.37934389044851,4.992835191409888,Entire home/apt,100,3,3,2015-08-30,3,1,350
3327727,Modern Family Home - Eternal Youth!,5800745,Vincent,,Noord-Oost,52.40708816719704,4.9332236523879995,Entire home/apt,100,5,2,2015-07-22,0.15,1,57
7822985,Luxury appartment 4 persons,29591818,Frans,,Noord-Oost,52.40238962052545,4.942974958767861,Entire home/apt,200,4,0,,,2,81
1338633,Green Space and Calm in Amsterdam,7259166,Mirjam,,Noord-Oost,52.39446585299704,4.945133846763909,Private room,55,3,21,2015-08-27,0.88,1,340
3990045,"Groot, modern, mooi gezinshuis.",7736832,Robert,,Noord-Oost,52.408424733473126,4.934696987880022,Entire home/apt,200,1,2,2015-08-22,0.54,1,142
6611814,Your own birdsnest on wheels,3040748,Henk,,Noord-Oost,52.41324444611566,4.946152859586055,Entire home/apt,68,2,10,2015-09-01,3.41,3,195
3539616,kamer in dijkhuis aan  IJsselmeer  ,17818756,Peter,,Noord-Oost,52.37778852843909,4.993286407913424,Private room,80,2,5,2015-06-09,0.38,1,339
3346620,Amsterdam CQS - Clean Quiet Safe 2,4013546,Xiong,,Noord-Oost,52.39951527518427,4.951645129825897,Private room,46,2,29,2015-08-13,2.00,2,346
8022722,Budget room in Amsterdam,36822577,Majette,,Noord-Oost,52.398262252714936,4.95433831522893,Private room,22,2,1,2015-09-02,1,3,274
