id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6011446,Backpackers delight!,31206106,Adriana,,Hume,-37.67906043694317,144.88389894254078,Private room,50,1,3,2015-07-06,0.59,1,329
8581419,Close to the city is well,45162696,Galya,,Hume,-37.687529570647364,144.88745576226955,Private room,50,1,0,,,1,365
6667300,VILLA TUSCANY - MELBOURNE + CAR,15651267,,,Hume,-37.55793797863698,144.8965516434781,Entire home/apt,395,2,0,,,5,362
8654594,Comfortable room near MEL Airport,45482644,Cherlyn,,Hume,-37.62699362707985,144.87557454748125,Private room,43,1,0,,,1,365
5446822,House close to Melbourne Airport,18167309,Nicholas,,Hume,-37.70133378398005,144.87248389130818,Entire home/apt,150,1,8,2015-09-06,3.16,1,346
6328212,Outer Suburbs family home,26817929,Stacy,,Hume,-37.63465837640137,144.92612357847545,Entire home/apt,40,1,0,,,1,120
310655,Bedroom with Queen bed and balcony,1598105,Jody,,Hume,-37.57208776358376,144.93825460058582,Private room,99,1,0,,,1,365
7012134,BRADFORD PLACE - 20min to CBD,15651267,,,Hume,-37.6937820597919,144.88535086916238,Entire home/apt,194,2,0,,,5,363
8371770,Best Western Melbourne Airport,44124191,Frontoffice,,Hume,-37.672885214135086,144.8878639572615,Private room,142,1,0,,,1,365
4271529,Backpackers more for your $$$,12137616,Lorraine,,Hume,-37.59135073776332,144.90647020210784,Private room,50,1,9,2015-09-24,0.90,2,353
7268885,Cozy private room close to airport,9614311,Chloe & Dennis,,Hume,-37.706249431056186,144.8764578429902,Private room,60,1,1,2015-08-28,0.83,1,45
6296679,Outer Metro Melbourne,32741289,Rob,,Hume,-37.60544696360127,144.92662253163607,Private room,35,1,5,2015-07-06,1.13,1,75
8118550,MELROSE PLACE  MELBOURNE + FREE CAR,15651267,Sofia & Neil,,Hume,-37.70209986816272,144.8822936312066,Entire home/apt,180,2,0,,,5,365
4145386,10 Mins from Tullamarine Airport,21505124,Domenic,,Hume,-37.69044867696736,144.92967456958235,Private room,75,1,33,2015-09-29,2.85,2,341
3312756,1 Bdm Unit 10 mins to Melb Airport,16729776,Natalia,,Hume,-37.69102387634173,144.89472063687322,Entire home/apt,80,1,9,2015-04-18,0.57,1,0
8615689,Room for Rent,42460492,Navneet,,Hume,-37.59718047515213,144.92383299297654,Private room,50,1,0,,,1,31
4942847,AIRPORT MELROSE PL,25475709,,,Hume,-37.69077081498706,144.87229111339585,Entire home/apt,131,2,4,2015-09-14,0.52,1,320
3721126,Quiet and clean room to relax,19006456,Mukul,,Hume,-37.57624863626513,144.93110066559112,Private room,35,1,17,2015-06-06,1.41,1,75
4883611,Backpackers more for your $$$,12137616,Lorraine,,Hume,-37.59161612606688,144.9049776678372,Private room,38,1,19,2015-09-09,2.26,2,339
4893429,Cozy Home near Melbourne Airport,25179944,James,,Hume,-37.698261540846104,144.87459070086703,Private room,60,1,18,2015-09-28,2.13,1,341
3345112,"2 Bedroom, 1 bath in Family Home",4695256,Misty,,Hume,-37.676021542194064,144.89576747431434,Private room,75,1,55,2015-07-30,3.78,1,249
653325,Your luxury home away from home 2,2471690,Margaret,,Hobsons Bay,-37.86057272444632,144.87985227709066,Private room,185,3,0,,,4,365
8462623,Modern home close to the beach!,26328729,Nicole,,Hobsons Bay,-37.88242394057,144.78557952009308,Private room,53,1,0,,,1,365
6150280,"Beach front house, great view",4124201,Sally,,Hobsons Bay,-37.87027952791939,144.8413647019103,Entire home/apt,194,1,0,,,2,105
1766675,Bright new beach-side apartment,9282702,Monica,,Hobsons Bay,-37.869386877578044,144.81845308297102,Entire home/apt,131,3,10,2015-07-03,0.44,1,326
7668668,Private comfortable room for one,292579,Gyorgyi,,Hobsons Bay,-37.864121434121074,144.7783702206564,Private room,30,7,0,,,1,300
3604633,Luxury 4BR House in Williamstown,5821435,Veronica,,Hobsons Bay,-37.85702726587715,144.87150712878142,Entire home/apt,351,5,0,,,7,352
7563847,Single Bed,15289083,Karen,,Hobsons Bay,-37.85522730315806,144.8961433567652,Private room,80,1,1,2015-07-29,0.45,1,41
6614036,Close to transport & shops,23310892,Benjamin,,Hobsons Bay,-37.84368041507549,144.879879590839,Entire home/apt,89,1,3,2015-07-29,1.08,1,98
7974253,private room c/w ensuite,38981612,Bruce,,Hobsons Bay,-37.85181141602445,144.89763344530795,Private room,85,1,0,,,1,365
6663783,Private Cosy Room with Garden View,9217524,Tung,,Hobsons Bay,-37.8738042691733,144.7713388416042,Private room,40,1,1,2015-08-17,0.64,3,357
4026215,Modern bright room in cosy Brooklyn,20875103,Eimear & Cameron,,Hobsons Bay,-37.82199435112815,144.83981152311392,Private room,33,1,23,2015-09-28,1.85,1,355
5042103,Room available for short term ,21059768,Ann,,Hobsons Bay,-37.851295962226466,144.8938873750289,Private room,50,1,8,2015-09-04,0.94,1,304
6976237,Relaxing Holiday By The Sea,36582709,Yew Kong,,Hobsons Bay,-37.864420545136234,144.87934235383875,Private room,139,1,0,,,1,365
4016078,Two Bedroom Appartment,18069116,,,Hobsons Bay,-37.86809162125389,144.76276541742715,Entire home/apt,99,3,8,2015-04-25,0.75,2,336
5797251,3 bedroom family house in Spotswood,20239487,Cushla,,Hobsons Bay,-37.82652835626791,144.87802226177794,Entire home/apt,200,10,0,,,1,163
653330,Your luxury home away from home 3,2471690,Margaret,,Hobsons Bay,-37.86005279411085,144.8796463041611,Private room,185,1,0,,,4,365
4897414,"""Bayside B&B"" - Bayside Period Home",64753,Tony,,Hobsons Bay,-37.86519889879493,144.89932545349748,Private room,60,2,6,2015-09-15,0.92,1,322
900706,Affordable and Comfy Room Available,4810945,Robert,,Hobsons Bay,-37.86389026433314,144.77731153131248,Private room,43,14,3,2015-04-08,0.17,2,330
3885928,Lovely Bedroom in Altona,15071409,Inger,,Hobsons Bay,-37.85815691205045,144.84858765866775,Private room,55,1,2,2015-05-01,0.26,1,348
8588458,Double Room in West Melbourne,14016123,Waqas,,Hobsons Bay,-37.87146850003315,144.75860625624645,Private room,40,1,0,,,1,365
2838047,A Charming Terrace in tourist area,14518329,Marilyn,,Hobsons Bay,-37.865140815212555,144.9073843290654,Private room,160,1,3,2015-08-23,0.35,1,208
3477885,Gorgeous Renovated Victorian Villa.,2211875,Sarah,,Hobsons Bay,-37.845605186446086,144.88890691733766,Private room,80,1,3,2015-07-05,0.34,1,365
8507850,"Light, bright room, great location!",7868235,Suzanne,,Hobsons Bay,-37.858445782329675,144.9009752817646,Private room,78,1,0,,,1,299
922118,Stunning Inner Melbourne Home - 3BR,4215295,Gail,,Hobsons Bay,-37.846319036219384,144.8703260916759,Private room,199,2,43,2015-07-07,1.40,3,305
5231559,"Close to beach, cafes and train!",26500785,Jacqui,,Hobsons Bay,-37.867964734386995,144.82723406442958,Private room,45,2,15,2015-09-14,2.03,4,307
7622401,1 bedroom Suite,32790903,Sally,,Hobsons Bay,-37.864461468335854,144.9078302989104,Entire home/apt,125,1,1,2015-09-01,0.94,2,152
5642943,Newport Views-large 3 brm apartment,29246190,Matthew,,Hobsons Bay,-37.84136507907247,144.87522619122603,Entire home/apt,175,2,5,2015-07-21,0.92,1,306
7281431,Comfortable living near the beach..,38128778,Tim,,Hobsons Bay,-37.871223769483436,144.81968541057518,Private room,47,1,0,,,1,365
2448210,Stunning 2 Rm Apartm't Williamstown,5821435,Veronica,,Hobsons Bay,-37.85746406934174,144.87174899025823,Entire home/apt,111,1,59,2015-09-30,3.38,7,338
4251330,WILLIAMSTOWN CENTRAL,11193686,Deb,,Hobsons Bay,-37.85628636890092,144.8968632966324,Entire home/apt,180,2,19,2015-08-30,1.57,1,262
7644045,alchan 5,22793991,기수,,Hobsons Bay,-37.83974206246385,144.84655782875853,Shared room,20,3,0,,,4,365
7939242,Stylish Artistic Bayside Apartment,41869122,Gursel,,Hobsons Bay,-37.85373633113931,144.85822181190306,Entire home/apt,99,3,0,,,1,259
1648134,Cosy 1BD in Historical Williamstown,8720996,Jodie,,Hobsons Bay,-37.857828031939604,144.8941271191488,Entire home/apt,80,1,9,2015-09-02,0.60,1,325
4938242,Charming Heritage Victorian home,25447023,Brendan,,Hobsons Bay,-37.856319419057634,144.89291212871242,Entire home/apt,300,3,0,,,1,234
7749607,"Melbourne, beach, city, 4m to train",3336544,Myra,,Hobsons Bay,-37.845115711027184,144.8868286082102,Private room,40,1,4,2015-09-21,3.24,1,110
8272803,Private Room and Ensuite Bathroom,43621746,Rachel,,Hobsons Bay,-37.83508811352205,144.87222966402936,Private room,89,1,0,,,1,90
6045015,Spacious & light filled 1BR Retreat,31372909,Polly,,Hobsons Bay,-37.84469948287837,144.86872691939243,Entire home/apt,121,2,3,2015-08-29,1.10,1,322
800702,Beautiful Melbourne Home sleeps 14!,4215295,Gail,,Hobsons Bay,-37.84691920742987,144.8808537666739,Entire home/apt,500,7,13,2015-09-28,0.62,3,301
8489238,One Bedroom Apartment at the Beach,4810945,Robert,,Hobsons Bay,-37.869540185521195,144.82750336338745,Entire home/apt,80,7,0,,,2,358
5126733,Spacious and Inviting Seaside Room,26500785,Jacqui,,Hobsons Bay,-37.869443915764805,144.82862098967578,Private room,40,1,18,2015-09-28,2.30,4,343
635722,Affordable and Cosy Accommodation,1198658,Erica Chin,,Hobsons Bay,-37.870023294688664,144.77236615081236,Private room,35,14,2,2013-12-30,0.08,1,365
7734188,alchan house,22793991,,,Hobsons Bay,-37.83935837779358,144.84824733716476,Private room,99,1,0,,,4,365
5548497,Single Rm by the beach,26500785,Jacqui,,Hobsons Bay,-37.868611821023926,144.82931127440185,Private room,35,1,8,2015-09-23,1.19,4,147
1844970,Just gorgeous - garden studio ,3688677,Sally,,Hobsons Bay,-37.84798017966042,144.8750631173935,Entire home/apt,94,2,29,2015-08-28,1.32,1,365
2352336,I do likeTo stay beside the seaside,7015827,Noel,,Hobsons Bay,-37.87044574207879,144.82358766207182,Entire home/apt,145,2,24,2015-08-28,1.23,2,293
1025055,Beautiful Melbourne Home - 2BR,4215295,Gail,,Hobsons Bay,-37.84360911909268,144.87686868054183,Private room,149,2,8,2015-04-10,0.27,3,305
75109,❤ Cosy Oasis just 10 km from CBD ❤,397569,Karen,,Hobsons Bay,-37.838211735643945,144.87827305496896,Private room,50,2,56,2015-09-15,1.02,3,362
926235,Luxury Holiday on the Bay,4984071,Ludwina,,Hobsons Bay,-37.83632715741522,144.85911667118035,Private room,70,1,10,2015-07-25,0.38,1,274
7735323,Comfortable room in Melbourne,23405787,Anna,,Hobsons Bay,-37.87853223367212,144.76707049021684,Private room,50,2,0,,,3,361
598709,Lovely Large Home & Swimming Pool,2961752,Kendra,,Hobsons Bay,-37.882973316219655,144.78927246762495,Entire home/apt,280,7,1,2012-11-08,0.03,2,7
645260,☀Sunny Room for solo travellers☀,397569,Karen,,Hobsons Bay,-37.83779730966739,144.87562063903525,Private room,45,2,39,2015-08-29,1.11,3,313
1663262,Your luxury home away from home,8811660,Margaret,,Hobsons Bay,-37.85925413744932,144.88061071130957,Entire home/apt,185,2,0,,,1,357
500950,Your luxury home away from home 1,2471690,Margaret,,Hobsons Bay,-37.85926044122866,144.87889826287193,Private room,185,1,1,2014-02-28,0.05,4,365
2710718,By the beach... 25 mins to Melb CBD,13873429,P&C,,Hobsons Bay,-37.866437412180524,144.88757830099263,Private room,99,1,0,,,1,365
5437874,"Beach front, large room, great view",4124201,Sally,,Hobsons Bay,-37.87006627723592,144.84154290164574,Private room,45,2,0,,,2,315
6871479,Bright Inner Melbourne Family Home,10918327,Nat,,Hobsons Bay,-37.84429012995771,144.87835643167884,Entire home/apt,275,5,1,2015-08-28,0.83,1,90
4494998,Newport Terrace Home with CBD Views,23316901,Brittany,,Hobsons Bay,-37.84730801417927,144.884828424745,Private room,129,3,0,,,1,365
8017437,Fresh funky flat in fabulous street,42335749,Andrea,,Hobsons Bay,-37.86020467643147,144.89843473274414,Entire home/apt,121,1,0,,,1,305
6903201,1 Bedroom Apartment,32790903,Sally,,Hobsons Bay,-37.86272377898322,144.90584974946862,Entire home/apt,95,1,3,2015-07-26,1.13,2,26
1562754,Private room in Melbourne,8315835,Piro,,Hobsons Bay,-37.86912713435207,144.83899449443552,Private room,138,1,0,,,1,365
5320144,Bayside Room with Ensuite,26500785,Jacqui,,Hobsons Bay,-37.86843397937492,144.82890698371435,Private room,45,2,13,2015-09-28,1.73,4,149
6917979,Newport Leadlight Haven,7015827,Noel,,Hobsons Bay,-37.84236022582764,144.88881695536605,Entire home/apt,125,3,6,2015-09-21,2.57,2,160
4099516,Gorgeous light filled home,19762308,Christine,,Hobsons Bay,-37.84097253089272,144.88777666987883,Entire home/apt,189,3,16,2015-08-16,1.37,1,332
8474006,Aloha Altona,4007602,Kieren,,Hobsons Bay,-37.865534735533316,144.82818373308382,Private room,30,1,0,,,1,351
8195459,Queensize Bedroom Ensuite Bathroom,43228195,Luna,,Hobsons Bay,-37.831484844733275,144.88360593550618,Private room,75,4,1,2015-09-28,1,1,364
6390245,Stylish  Family Home with pool,33313740,Ken,,Hobsons Bay,-37.85678552795408,144.88049424712233,Entire home/apt,375,1,0,,,1,115
8014460,Beautiful renovated 2 Bedroom unit,3820646,Melissa & Jared,,Hobsons Bay,-37.845101103364,144.89247786074355,Entire home/apt,65,3,0,,,1,13
7834209,"Private Bungalow, own Bathroom",41257214,Martijn,,Hobsons Bay,-37.84089870262128,144.88809974611988,Private room,70,2,0,,,1,365
281890,❤ Gorgeous retreat! 10km from CBD ❤,397569,Karen,,Hobsons Bay,-37.836429709128794,144.87703765665356,Private room,50,1,47,2015-09-30,1.01,3,350
7735421,Cozy room in Melbourne West,23405787,Anna,,Hobsons Bay,-37.87798894349637,144.76834048303314,Private room,50,1,0,,,3,361
7875631,10kms to CBD & Williamstown Beach,35334729,Kelly,,Hobsons Bay,-37.84002538590483,144.8811768901883,Entire home/apt,89,2,0,,,1,351
7735574,Comfortable 2 BR for 4 guests,23405787,Anna,,Hobsons Bay,-37.878634070862034,144.76653872524736,Private room,98,1,1,2015-09-26,1,3,359
7734040,alchan house,22793991,,,Hobsons Bay,-37.840545464158296,144.8477841113724,Private room,60,1,0,,,4,365
5062908,A taste of Williamstown ,16760539,Mary,,Hobsons Bay,-37.855244169569325,144.8900484872635,Private room,55,1,0,,,1,365
683817,BEACH FRONT AWESOME VIEWS FREE WIFI,3486488,Eloise And Suzi,,Kingston,-38.02798861880932,145.10277784079494,Private room,75,2,22,2015-07-04,0.65,2,333
5341922,Cote d'Azur,22146574,Samantha,,Kingston,-37.98848177328212,145.05793438383589,Private room,72,1,4,2015-09-28,0.55,1,360
6633061,Cape Cod style near the sea/wetland,34723752,Mark,,Kingston,-38.032803933886036,145.11584434064218,Entire home/apt,99,21,0,,,1,104
7482803,Room for Rent - long term,38612844,Kelvin,,Kingston,-37.964981364026116,145.07526415171967,Private room,50,1,0,,,1,274
8384290,South East Melbourne Attraction,41585564,Becky,,Kingston,-37.93943591183261,145.11708315044717,Private room,45,1,0,,,4,365
8090188,Beach Road Parkdale,3675903,Billy,,Kingston,-37.99974507308446,145.07590851833046,Private room,89,1,0,,,1,280
5894773,"Next to shops, station & beach!",29770900,Jane,,Kingston,-37.949040553237964,145.04387803470118,Entire home/apt,126,1,6,2015-08-06,1.03,1,339
5698398,Looking for a caring family ,29412161,Phil,,Kingston,-37.96132102329804,145.06480185425727,Entire home/apt,99,21,0,,,1,0
6616264,Cosy home overlooking lake,34611063,Val,,Kingston,-38.06766400514098,145.14736008552637,Private room,30,2,5,2015-08-14,1.39,1,351
785116,Beach Shack..minutes to the beach..,3579354,,,Kingston,-38.02886254382957,145.1060161831964,Private room,150,1,0,,,1,365
8239859,Mordialloc Bayview Apartment,25101543,Jeff,,Kingston,-38.00608807144429,145.08422125041866,Entire home/apt,351,14,0,,,1,237
801772,Highett room,431770,Leigh,,Kingston,-37.94900217148251,145.0456323801585,Private room,85,1,0,,,2,360
3981077,"Best beach on the bay, Chelsea",20635688,Gunnhildur,,Kingston,-38.0494558095488,145.11495200964032,Private room,60,2,6,2015-07-01,0.56,1,358
4541098,Walk to Train/Shops + WiFi/Netflix,10660170,Emily And Chris,,Kingston,-37.96914152765821,145.05743903397135,Entire home/apt,111,4,6,2015-09-19,0.90,1,66
6441895,Single room for one clean person,33633260,Christine,,Kingston,-38.01399379536926,145.10785494136493,Private room,70,7,0,,,1,363
5573923,Stay by the bay!,28900312,Jeremy,,Kingston,-38.057488172459315,145.12840062339657,Private room,80,1,0,,,1,324
5459350,Cosy quiet beachside double room,28317978,Saan,,Kingston,-37.98350440069813,145.0618356826268,Private room,30,1,6,2015-09-23,1.05,1,292
8294994,墨尔本近 SOUTHLAND超值房间出租,43737711,Thomas,,Kingston,-37.941909932583044,145.04447726272085,Private room,40,1,1,2015-09-16,1,2,287
4036340,Bayside Serenity,2466132,Trent,,Kingston,-38.000002972162974,145.07980844788727,Entire home/apt,131,1,12,2015-07-28,1.24,1,358
7185616,Private bedroom in Bayside area,33536214,Veronica,,Kingston,-37.95412160747871,145.04961010516755,Private room,60,1,0,,,1,300
5596653,Modern spacious bayside living home,18838557,Vani,,Kingston,-38.04312052090381,145.1155265742045,Private room,80,1,2,2015-08-29,0.80,1,365
8397917,South East Melbourne Attraction,41585564,Becky,,Kingston,-37.93931374307972,145.11560912455633,Private room,45,1,0,,,4,365
7665500,Seaside Spa retreat,40242016,Jillian,,Kingston,-38.01978077149527,145.09814621831774,Private room,280,2,0,,,1,365
7775665,Bright Clean Comfy Train Station,40905663,Wesley,,Kingston,-37.93343352017314,145.13345642233705,Private room,44,1,0,,,2,331
262114,"Highett Melbourne, Private Bungalow",431770,Leigh,,Kingston,-37.9477250934562,145.04471035007845,Entire home/apt,125,3,3,2014-03-27,0.07,2,365
4504076,"Absolute Beach Front, Cafes & Pubs",23358683,,,Kingston,-38.0754566117225,145.1210220732812,Private room,50,2,1,2015-07-31,0.47,1,361
2011918,beach living,2075095,Charlotte,,Kingston,-38.05558307359116,145.12663626709823,Private room,99,1,0,,,1,365
5108502,Upstairs bedroom & private lounge,26397356,,,Kingston,-38.0445676234734,145.1367327938362,Private room,60,1,1,2015-03-01,0.14,1,364
8384704,South East Melbourne Attraction,41585564,Becky,,Kingston,-37.94051486712013,145.11583849959848,Private room,60,1,0,,,4,360
6009934,Lovely French Style Bedroom,3302979,Jackie,,Kingston,-37.97723371444927,145.11748945005237,Private room,67,1,0,,,1,364
865195,Self contained Garden View Studio ,606393,Barbara,,Kingston,-37.989337677260906,145.0780369803956,Entire home/apt,75,3,44,2015-09-21,1.34,1,332
1798188,2 Bedroom Fully Furnishe,9393991,Marcela,,Kingston,-37.97413878132,145.06361337167266,Entire home/apt,111,2,22,2015-09-27,0.93,1,344
6304934,"Cosy, modern 2-bedroom apartment",20617724,Sian,,Kingston,-37.977343029448164,145.06096501174775,Entire home/apt,135,3,0,,,1,8
3452781,Lost horizon,4143727,Prashikha And Joel,,Kingston,-38.07641327020357,145.12864058724085,Private room,50,2,15,2015-10-01,1.22,1,355
5434725,FRESH&NEW FUN ADVENTURE 4 ALL,28171093,Melanie,,Kingston,-38.05372935603149,145.11733734342496,Entire home/apt,121,2,3,2015-04-29,0.44,1,305
8426031,Large Room in South East Melbourne,41585564,Becky,,Kingston,-37.93954871765413,145.11540918397816,Private room,85,1,0,,,4,354
7186925,BAYSIDE GARDEN BUNGALOW,29001170,Martin And Jenny,,Kingston,-37.99953327160898,145.09261937356638,Entire home/apt,78,1,7,2015-09-26,5.53,1,352
6057131,Sunny Bonbeach BnB,31437570,Sue,,Kingston,-38.07035791723649,145.11984719067289,Private room,65,2,0,,,1,336
8136860,Bright Clean Spacious Train Station,40905663,Wesley,,Kingston,-37.93193159862775,145.13274155880737,Private room,50,1,0,,,2,363
4761194,"""LITTLE RETREAT""",10790163,Susan,,Kingston,-38.06407769181798,145.14490765938282,Entire home/apt,121,2,11,2015-09-21,1.20,1,343
1910020,Kilburn Close,4012744,Patsy,,Kingston,-37.968597245676165,145.0598783244114,Entire home/apt,121,5,9,2015-04-24,0.44,1,197
5825222,Warrigal Road Accommodation,30236145,Jonathan,,Kingston,-37.965571687778635,145.07495383549661,Private room,121,2,0,,,1,161
1500207,Fabulous location 2 mins walk beac,8017099,Rachel,,Kingston,-37.999127118761024,145.0776981430694,Private room,55,2,19,2015-09-18,0.84,1,340
5242093,2 bedrooms and a Yard in Mentone!!,27130518,Pablo,,Kingston,-37.97566997803164,145.06215434500433,Entire home/apt,131,3,9,2015-09-18,1.25,1,119
6494653,"1 bedroom, courtyard and cafes",33948682,,,Kingston,-37.994262677176415,145.09217859782217,Entire home/apt,89,3,1,2015-08-29,0.86,1,23
4625462,Beautiful little beach shack,16767797,Matt,,Kingston,-38.0464210013971,145.12669733140953,Private room,50,1,4,2015-10-01,0.39,1,351
4085924,Modern Spacious Apartment,21194089,Paul & Adele,,Kingston,-38.00009187565631,145.0964214287549,Entire home/apt,115,10,3,2015-09-05,0.42,1,239
7279961,Moorabbin - Very Quiet Small Court,38118247,Isabelle,,Kingston,-37.94233880829085,145.04964584606813,Private room,50,1,3,2015-09-02,1.27,1,355
7116072,Stunning Yaringa Boutique Apt,37278673,Andrea,,Kingston,-38.01285722003996,145.08899313608595,Entire home/apt,141,1,0,,,1,306
4520755,Wisteria Cottage    Garden View,23438520,The Bradleys,,Kingston,-37.991569585566694,145.09145536744208,Private room,65,1,0,,,1,303
