listing_id,date
3441919,2015-09-12
6736199,2015-06-14
6736199,2015-06-21
6736199,2015-07-03
6736199,2015-09-05
6736199,2015-09-19
3667527,2014-07-24
3667527,2014-07-30
3667527,2014-08-07
3667527,2014-08-18
3667527,2014-09-01
3667527,2014-09-07
3667527,2014-09-11
3667527,2014-10-20
3667527,2014-11-04
3667527,2014-11-09
3667527,2014-11-15
3667527,2014-11-25
3667527,2014-12-05
3667527,2014-12-20
3667527,2015-02-06
3667527,2015-02-13
3667527,2015-03-03
3667527,2015-03-22
3667527,2015-03-26
3667527,2015-04-02
3667527,2015-04-09
3667527,2015-04-29
3667527,2015-05-08
3667527,2015-05-17
3667527,2015-06-15
3667527,2015-07-21
3667527,2015-07-27
3667527,2015-08-03
3667527,2015-08-21
3667527,2015-08-31
3667527,2015-09-10
3667527,2015-09-20
7901632,2015-09-09
7901632,2015-09-20
3761574,2014-12-29
5280433,2015-03-03
5280433,2015-03-17
5280433,2015-03-26
5280433,2015-04-02
5280433,2015-04-18
5280433,2015-04-27
5280433,2015-06-01
5280433,2015-06-13
5280433,2015-07-06
5280433,2015-07-15
5280433,2015-07-27
5280433,2015-08-28
5280433,2015-09-01
4788833,2015-03-11
4788833,2015-03-21
4788833,2015-03-26
4788833,2015-07-31
7752071,2015-09-26
7752071,2015-09-27
6631869,2015-09-08
6870880,2015-09-08
6731298,2015-06-27
6731298,2015-10-01
4387138,2014-12-14
4387138,2015-01-02
4387138,2015-01-11
4387138,2015-01-15
4387138,2015-01-26
4387138,2015-02-13
4387138,2015-02-19
4387138,2015-02-25
4387138,2015-03-19
4387138,2015-03-29
4387138,2015-04-15
4387138,2015-04-26
4387138,2015-06-13
4387138,2015-07-12
2538561,2014-08-25
2538561,2014-10-10
2538561,2014-12-24
2538561,2015-05-03
2538561,2015-08-08
3303970,2014-10-29
3303970,2015-02-03
3303970,2015-03-12
3303970,2015-03-25
3303970,2015-03-31
3303970,2015-04-01
3303970,2015-04-06
3303970,2015-05-21
3303970,2015-09-26
5446812,2015-03-07
5446812,2015-03-24
5446812,2015-04-05
5446812,2015-04-27
5446812,2015-05-17
5446812,2015-06-07
5446812,2015-06-25
5446812,2015-07-21
5446812,2015-07-26
5446812,2015-08-19
5446812,2015-08-24
5446812,2015-08-26
5446812,2015-09-06
6125420,2015-04-30
6125420,2015-05-03
6125420,2015-05-05
6125420,2015-05-10
6125420,2015-05-17
6125420,2015-05-22
6125420,2015-06-01
6125420,2015-06-07
6125420,2015-06-09
6125420,2015-06-14
6125420,2015-06-18
6125420,2015-06-23
6125420,2015-06-28
6125420,2015-07-03
6125420,2015-07-19
6125420,2015-07-22
6125420,2015-07-25
6125420,2015-08-04
6125420,2015-08-15
6125420,2015-08-21
6125420,2015-08-29
6125420,2015-08-31
6125420,2015-09-03
6125420,2015-09-11
6125420,2015-09-21
6125420,2015-09-24
6125420,2015-09-29
2448210,2014-04-27
2448210,2014-05-09
2448210,2014-07-31
2448210,2014-10-16
2448210,2014-10-18
2448210,2014-10-20
2448210,2014-10-26
2448210,2014-11-02
2448210,2014-11-16
2448210,2014-11-24
2448210,2014-12-01
2448210,2014-12-05
2448210,2014-12-07
2448210,2014-12-14
2448210,2014-12-15
2448210,2014-12-22
2448210,2014-12-31
2448210,2015-01-06
2448210,2015-01-25
2448210,2015-02-08
2448210,2015-02-12
2448210,2015-02-15
2448210,2015-02-16
2448210,2015-02-19
2448210,2015-02-21
2448210,2015-02-24
2448210,2015-03-01
2448210,2015-03-08
2448210,2015-03-15
2448210,2015-03-16
2448210,2015-03-19
2448210,2015-03-22
2448210,2015-03-29
2448210,2015-04-11
2448210,2015-04-13
2448210,2015-04-19
2448210,2015-04-26
2448210,2015-05-19
2448210,2015-05-23
2448210,2015-05-24
2448210,2015-05-31
2448210,2015-06-07
2448210,2015-06-22
2448210,2015-06-26
2448210,2015-06-28
2448210,2015-07-06
2448210,2015-07-20
2448210,2015-07-28
2448210,2015-08-07
2448210,2015-08-09
2448210,2015-08-16
2448210,2015-08-23
2448210,2015-08-31
2448210,2015-09-10
2448210,2015-09-11
2448210,2015-09-16
2448210,2015-09-17
2448210,2015-09-23
2448210,2015-09-30
1684534,2014-01-20
1684534,2014-03-13
1684534,2014-03-18
1684534,2014-04-01
1684534,2014-06-24
1684534,2015-03-06
1684534,2015-03-09
1684534,2015-05-16
2875537,2014-08-25
2875537,2014-10-03
2875537,2014-10-07
2875537,2014-11-03
2875537,2015-02-02
2875537,2015-03-13
2875537,2015-07-29
1149701,2013-06-27
1149701,2013-07-01
1149701,2013-07-16
1149701,2013-07-21
1149701,2013-07-28
1149701,2013-07-30
1149701,2013-08-12
1149701,2013-08-26
1149701,2013-09-13
1149701,2013-09-19
1149701,2013-10-20
1149701,2015-07-03
1149701,2015-07-10
1149701,2015-07-16
1149701,2015-07-23
1149701,2015-07-23
1149701,2015-07-27
1149701,2015-08-05
1149701,2015-08-11
1149701,2015-08-17
1149701,2015-08-21
1149701,2015-08-24
1149701,2015-08-31
1149701,2015-09-13
1149701,2015-09-21
1149701,2015-10-01
3916284,2014-11-29
1909910,2014-01-15
1909910,2014-01-20
1909910,2014-01-25
1909910,2014-02-03
1909910,2014-03-19
1909910,2014-03-25
1909910,2014-05-13
1909910,2014-05-26
1909910,2014-06-08
1909910,2014-06-16
1909910,2014-07-01
1909910,2014-08-02
1909910,2014-08-26
1909910,2014-09-02
1909910,2014-10-10
1909910,2014-10-14
1909910,2014-10-14
1909910,2014-10-21
1909910,2014-10-27
1909910,2014-11-06
1909910,2014-11-27
1909910,2015-01-03
6083206,2015-05-13
6083206,2015-05-20
6083206,2015-05-25
6083206,2015-06-02
6083206,2015-06-10
6083206,2015-06-14
6083206,2015-06-19
6083206,2015-06-26
6083206,2015-07-31
6083206,2015-08-13
6083206,2015-08-19
6083206,2015-08-27
5632035,2015-03-16
5632035,2015-03-21
5632035,2015-03-29
5632035,2015-04-01
5632035,2015-04-11
5632035,2015-04-15
5632035,2015-06-14
5632035,2015-06-15
5632035,2015-06-30
5632035,2015-07-12
5632035,2015-07-19
5632035,2015-07-24
5632035,2015-07-27
5632035,2015-08-21
5632035,2015-09-21
5632035,2015-09-24
915700,2013-02-17
915700,2013-12-15
